uid,dataset,group_id,prompt,num_tokens
winogrande_train_3011,winogrande,1,"Sentence: Tanya's eyebrows are much thinner than Cynthia's are because _ styles them a lot more.
Option 1: Tanya
Option 2: Cynthia
Choose the correct option and complete the sentence.",43
winogrande_test_1250,winogrande,2,"Sentence: Jason preferred to order bacon over pepperoni on his pizza, because the _ is spicier.
Option 1: bacon
Option 2: pepperoni
Choose the correct option and complete the sentence.",41
winogrande_train_2173,winogrande,1,"Sentence: The branch flew off of the tree and landed on my deck. The _ is strong.
Option 1: branch
Option 2: deck
Choose the correct option and complete the sentence.",38
winogrande_train_6952,winogrande,1,"Sentence: Kayla cut Betty's hair, but _ accidentally asked for it too short and lost out on a braid.
Option 1: Kayla
Option 2: Betty
Choose the correct option and complete the sentence.",44
winogrande_train_88,winogrande,1,"Sentence: Everyone wanted to be a mermaid at the Halloween party, but the costume at the store only fit Christine and not Jennifer because _ was obese.
Option 1: Christine
Option 2: Jennifer
Choose the correct option and complete the sentence.",50
winogrande_train_1936,winogrande,1,"Sentence: Randy had a frown on his face as he asked Nick why he didn't want to be a couple, but _ was not gay.
Option 1: Randy
Option 2: Nick
Choose the correct option and complete the sentence.",47
winogrande_train_2429,winogrande,1,"Sentence: Both had a fever but Maria broke before Jennifer because _ listened to their doctor and did what they were told.
Option 1: Maria
Option 2: Jennifer
Choose the correct option and complete the sentence.",42
winogrande_train_6155,winogrande,1,"Sentence: He was hurting after falling on the floor, but didn't mind hitting the wall, because the _ was hard.
Option 1: floor
Option 2: wall
Choose the correct option and complete the sentence.",43
winogrande_train_6829,winogrande,1,"Sentence: To keep her heart pumping, they cracked her chest open and stuck a tube in her. The _ was synthetic.
Option 1: chest
Option 2: tube
Choose the correct option and complete the sentence.",45
winogrande_train_5377,winogrande,1,"Sentence: While the woman Kayla was driving Maria to her first day of kindergarten the police officer gave _ a ticket.
Option 1: Kayla
Option 2: Maria
Choose the correct option and complete the sentence.",45
winogrande_train_2702,winogrande,1,"Sentence: Samuel tried on the old hat, but Craig did not, and as a result _ did not find lice in their hair.
Option 1: Samuel
Option 2: Craig
Choose the correct option and complete the sentence.",45
winogrande_train_6236,winogrande,1,"Sentence: The combat vets nightmares were much worse than the dreams of the student, because the _ were imaginary.
Option 1: nightmares
Option 2: dreams
Choose the correct option and complete the sentence.",45
winogrande_train_2885,winogrande,1,"Sentence: The signs that were on the corner below the lights flew off in the hurricane. The _ were heavy.
Option 1: signs
Option 2: lights
Choose the correct option and complete the sentence.",41
winogrande_train_5681,winogrande,1,"Sentence: Randy requested Ian pick up a brace for his wrist pain since leaving the house wasn't an option for _ .
Option 1: Randy
Option 2: Ian
Choose the correct option and complete the sentence.",41
winogrande_train_5989,winogrande,1,"Sentence: Patricia had much better hearing than Jessica had because _ was a much younger person.
Option 1: Patricia
Option 2: Jessica
Choose the correct option and complete the sentence.",36
winogrande_train_6458,winogrande,1,"Sentence: Cynthia wanted a birdcage made of gold so they asked Erin to make it so _  contracted one to be built.
Option 1: Cynthia
Option 2: Erin
Choose the correct option and complete the sentence.",47
winogrande_train_7060,winogrande,1,"Sentence: He followed the instructions and wiped the tables before wiping the chairs, because the debris wiped from the _ tends to fall on the chairs.
Option 1: tables
Option 2: chairs
Choose the correct option and complete the sentence.",51
winogrande_train_7347,winogrande,1,"Sentence: Megan had a harder time on the exam than Patricia because _ kept forgetting to study.
Option 1: Megan
Option 2: Patricia
Choose the correct option and complete the sentence.",38
winogrande_train_6299,winogrande,1,"Sentence: The mascara that we bought at the local supermarket was cheaper than the concealer, because the _ was from a good brand.
Option 1: mascara
Option 2: concealer
Choose the correct option and complete the sentence.",48
winogrande_val_1081,winogrande,3,"Sentence: Harper wanted to wear a cowboy hat and a bolero tie to her party, but the _ didn't fit her head.
Option 1: tie
Option 2: hat
Choose the correct option and complete the sentence.",45
winogrande_val_778,winogrande,3,"Sentence: More people attended the funeral of Joel than of Derrick because _ was a mean person.
Option 1: Joel
Option 2: Derrick
Choose the correct option and complete the sentence.",39
winogrande_train_7219,winogrande,1,"Sentence: James decided to grow kale and chard in his vegetable garden that year, since the _ was suited to the climate.
Option 1: chard
Option 2: garden
Choose the correct option and complete the sentence.",45
winogrande_train_6352,winogrande,1,"Sentence: Natalie was hired to install a new wall for Monica because _ is the employer.
Option 1: Natalie
Option 2: Monica
Choose the correct option and complete the sentence.",36
winogrande_train_7140,winogrande,1,"Sentence: Michael bought mealworms as pet food but not Kenneth because _ had a lizard as a pet.
Option 1: Michael
Option 2: Kenneth
Choose the correct option and complete the sentence.",41
winogrande_train_5899,winogrande,1,"Sentence: Neil got a bird as a pet and Michael go a horse because _ liked animals that could fly.
Option 1: Neil
Option 2: Michael
Choose the correct option and complete the sentence.",40
winogrande_test_87,winogrande,2,"Sentence: Kyle's gecko is going to see Joseph at the office, so _ is the pet owner.
Option 1: Kyle
Option 2: Joseph
Choose the correct option and complete the sentence.",40
winogrande_train_6890,winogrande,1,"Sentence: If you're interested in alpha hydroxy acid for skincare, I'd recommend starting with our cream rather than our serum since the _ is harsher.
Option 1: cream
Option 2: serum
Choose the correct option and complete the sentence.",51
winogrande_test_429,winogrande,2,"Sentence: Jennifer's canary was fat but liked to eat spinach, and Rebecca always gave it some extra snacks. _ felt guilty when she found out why the canary was fat.
Option 1: Jennifer
Option 2: Rebecca
Choose the correct option and complete the sentence.",57
winogrande_test_1398,winogrande,2,"Sentence: The child tried to kill the mosquito with the racquet but the _ was too small.
Option 1: racquet
Option 2: mosquito
Choose the correct option and complete the sentence.",39
winogrande_train_6260,winogrande,1,"Sentence: The puppy ignored Steven but was affectionate with Ian , since _ was a stranger .
Option 1: Steven
Option 2: Ian
Choose the correct option and complete the sentence.",38
winogrande_test_15,winogrande,2,"Sentence: We had to make a bid on the item instead of just making a purchase, because the _ would be lower.
Option 1: purchase
Option 2: bid
Choose the correct option and complete the sentence.",43
winogrande_train_8091,winogrande,1,"Sentence: Eric always made rice with chicken, but Neil was bored of the same dish. _ decided to cook instead.
Option 1: Eric
Option 2: Neil
Choose the correct option and complete the sentence.",42
winogrande_train_3207,winogrande,1,"Sentence: The skirt of Amy is much shorter than the one that Victoria is wearing. Even though, _ wants more attention.
Option 1: Amy
Option 2: Victoria
Choose the correct option and complete the sentence.",44
winogrande_train_9109,winogrande,1,"Sentence: The board could not be hidden in the bag brought with the boys because the _ is wide.
Option 1: board
Option 2: bag
Choose the correct option and complete the sentence.",39
winogrande_test_1630,winogrande,2,"Sentence: Samantha needed to wear a uniform to school but Rebecca did not since _ went to a public school.
Option 1: Samantha
Option 2: Rebecca
Choose the correct option and complete the sentence.",40
winogrande_train_7057,winogrande,1,"Sentence: Nobody wants to go home but people do not mind attending the meeting at the hall. The _ is closer.
Option 1: hall
Option 2: home
Choose the correct option and complete the sentence.",42
winogrande_train_5610,winogrande,1,"Sentence: The teeth of Katrina are more yellow than Laura's due to _ drinking mostly water all the time.
Option 1: Katrina
Option 2: Laura
Choose the correct option and complete the sentence.",40
winogrande_test_1620,winogrande,2,"Sentence: May's relationship with her mother was more important to her than her relationship with her boyfriend. The _ was longer.
Option 1: relationship with her mother
Option 2: relationship with her boyfriend
Choose the correct option and complete the sentence.",49
winogrande_train_6053,winogrande,1,"Sentence: Ben had lemons and limes, but he chose to make a drink with the _ because he liked green.
Option 1: limes
Option 2: lemons
Choose the correct option and complete the sentence.",43
winogrande_train_7437,winogrande,1,"Sentence: I refused to stop wearing my old hat even though there were holes in it because the _ gave it character.
Option 1: holes
Option 2: hat
Choose the correct option and complete the sentence.",42
winogrande_train_7672,winogrande,1,"Sentence: Lindsey's house was more exposed to the elements than Jennifer's because _ lived closer to mountain top.
Option 1: Lindsey
Option 2: Jennifer
Choose the correct option and complete the sentence.",42
winogrande_test_1134,winogrande,2,"Sentence: Mark cooked a cake and a salad for his guests, he used chocolate for the _ .
Option 1: cake
Option 2: salad
Choose the correct option and complete the sentence.",38
winogrande_train_5252,winogrande,1,"Sentence: Elena thought strawberries were delicious but Natalie hated their taste. _ had blueberry shortcake for their dessert.
Option 1: Elena
Option 2: Natalie
Choose the correct option and complete the sentence.",45
winogrande_train_3899,winogrande,1,"Sentence: The skin of Patricia was as light as ivory although the skin of Rachel was the shade of ebony. _ is white.
Option 1: Patricia
Option 2: Rachel
Choose the correct option and complete the sentence.",46
winogrande_train_797,winogrande,1,"Sentence: The volunteer organization helped the community by making sweaters instead of gloves because the _ were not warm enough.
Option 1: sweaters
Option 2: gloves
Choose the correct option and complete the sentence.",44
winogrande_train_4155,winogrande,1,"Sentence: While gardening in the yard, Ryan realized they still had Michael's tool from the previous year. _ felt surprised to get it back so long after.
Option 1: Ryan
Option 2: Michael
Choose the correct option and complete the sentence.",51
winogrande_train_3720,winogrande,1,"Sentence: Benjamin drank eight bottles of beer before Matthew got there and _ was very upset.
Option 1: Benjamin
Option 2: Matthew
Choose the correct option and complete the sentence.",37
winogrande_train_689,winogrande,1,"Sentence: Patricia was getting divorced after 30 years of marriage and got very little while Lindsey got a lot. _ was selfish.
Option 1: Patricia
Option 2: Lindsey
Choose the correct option and complete the sentence.",46
winogrande_train_5683,winogrande,1,"Sentence: Before Elena left for vacation she left Patricia a detailed plan to follow, _ needs others to do things often.
Option 1: Elena
Option 2: Patricia
Choose the correct option and complete the sentence.",42
winogrande_train_1177,winogrande,1,"Sentence: Sarah was landscaping for Laura so _ spent all day digging for the new post.
Option 1: Sarah
Option 2: Laura
Choose the correct option and complete the sentence.",37
winogrande_train_4568,winogrande,1,"Sentence: Randy doesn't care about using natural products, while that's all that Craig uses, even though _ is probably less friendly to the environment.
Option 1: Randy
Option 2: Craig
Choose the correct option and complete the sentence.",46
winogrande_train_4677,winogrande,1,"Sentence: Patricia had to give a public speech, but was so nervous compared to Jennifer, due to _ being shy.
Option 1: Patricia
Option 2: Jennifer
Choose the correct option and complete the sentence.",42
winogrande_train_2463,winogrande,1,"Sentence: Samuel's birth certificate shows they were born in Kenya but Justin's shows they were born in USA.  _ was qualified to become president.
Option 1: Samuel
Option 2: Justin
Choose the correct option and complete the sentence.",47
winogrande_val_557,winogrande,3,"Sentence: Donna needed dentures or implants for her bad teeth. She chose the _ because they are cheaper.
Option 1: dentures
Option 2: implants
Choose the correct option and complete the sentence.",43
winogrande_train_200,winogrande,1,"Sentence: Because Brian lived in a very cold climate while Joel lived in a warm climate, _ had to dress in very few layers.
Option 1: Brian
Option 2: Joel
Choose the correct option and complete the sentence.",45
winogrande_train_6332,winogrande,1,"Sentence: Getting good grades at school was easier for Tanya than Elena because _  really liked studying.
Option 1: Tanya
Option 2: Elena
Choose the correct option and complete the sentence.",40
winogrande_train_6838,winogrande,1,"Sentence: It was easier to read the book than read the magazine, because the _ was made for adults.
Option 1: book
Option 2: magazine
Choose the correct option and complete the sentence.",40
winogrande_train_4661,winogrande,1,"Sentence: Samuel was more interested in knowing how things worked than Ryan because _ did not have a curious nature.
Option 1: Samuel
Option 2: Ryan
Choose the correct option and complete the sentence.",40
winogrande_train_5981,winogrande,1,"Sentence: Adam needed to trim their nails while Craig did not because the nails of _ were quite short.
Option 1: Adam
Option 2: Craig
Choose the correct option and complete the sentence.",41
winogrande_train_8762,winogrande,1,"Sentence: It is always a noble act to donate your body to science. The _ is very useful.
Option 1: Body
Option 2: Science
Choose the correct option and complete the sentence.",40
winogrande_train_490,winogrande,1,"Sentence: When I am traveling, I always write out directions and bring maps. The _ tell me how to go there.
Option 1: directions
Option 2: maps
Choose the correct option and complete the sentence.",43
winogrande_train_6687,winogrande,1,"Sentence: Randy's job involves translation of a language, and Kyle's only uses English. _ is a monoglot.
Option 1: Randy
Option 2: Kyle
Choose the correct option and complete the sentence.",43
winogrande_train_8380,winogrande,1,"Sentence: Benjamin likes to stuff bell peppers when Robert comes over, because _ loves to make them.
Option 1: Benjamin
Option 2: Robert
Choose the correct option and complete the sentence.",39
winogrande_train_940,winogrande,1,"Sentence: When given the choice between the road and alley, I play it safe by avoiding the _ because it is dark.
Option 1: road
Option 2: alley
Choose the correct option and complete the sentence.",45
winogrande_train_9038,winogrande,1,"Sentence: Joseph went to Matthew office for a a exam and was informed they were not in good health, bad news is something _ hated to hear.
Option 1: Joseph
Option 2: Matthew
Choose the correct option and complete the sentence.",49
winogrande_train_403,winogrande,1,"Sentence: Benjamin has a harder time than Leslie making important decisions at college because _ has a parent to turn to.
Option 1: Benjamin
Option 2: Leslie
Choose the correct option and complete the sentence.",41
winogrande_train_8628,winogrande,1,"Sentence: When Michael dropped his purple marble, Dennis laughed, so mother gave _ an angry look.
Option 1: Michael
Option 2: Dennis
Choose the correct option and complete the sentence.",38
winogrande_test_171,winogrande,2,"Sentence: Monica preferred wearing contact lenses more than Sarah did, as _ had no problems touching her eye.
Option 1: Monica
Option 2: Sarah
Choose the correct option and complete the sentence.",39
winogrande_train_7195,winogrande,1,"Sentence: Erin failed to prevent Felicia from scoring a goal on her, although _ was usually faster than her.
Option 1: Erin
Option 2: Felicia
Choose the correct option and complete the sentence.",44
winogrande_test_415,winogrande,2,"Sentence: Randy did not like technology unlike Dennis so _ stayed informed through reading print newspapers.
Option 1: Randy
Option 2: Dennis
Choose the correct option and complete the sentence.",36
winogrande_train_5245,winogrande,1,"Sentence: She was feeling playful after the movie, but sad after the show, because the _ was a drama.
Option 1: movie
Option 2: show
Choose the correct option and complete the sentence.",42
winogrande_train_7603,winogrande,1,"Sentence: William didn't want Jeffrey to clean his pet snail's shell because _ knew nothing about snails.
Option 1: William
Option 2: Jeffrey
Choose the correct option and complete the sentence.",40
winogrande_train_3954,winogrande,1,"Sentence: Her grandmother's iron made a great substitution for the doorstop, because the _ was light.
Option 1: doorstop
Option 2: iron
Choose the correct option and complete the sentence.",40
winogrande_train_2342,winogrande,1,"Sentence: The woman took many photographs of the statue, but only 1 of the fountain, because the _ was common.
Option 1: statue
Option 2: fountain
Choose the correct option and complete the sentence.",44
winogrande_train_67,winogrande,1,"Sentence: A leg of lamb is a luxury but pig's heart is not because the _ is very cheap.
Option 1: lamb
Option 2: heart
Choose the correct option and complete the sentence.",40
winogrande_train_5482,winogrande,1,"Sentence: Mary put the unused furniture in the den before decorating the dining room, because the _ would not be used during the party.
Option 1: den
Option 2: dining room
Choose the correct option and complete the sentence.",47
winogrande_train_5071,winogrande,1,"Sentence: The funeral of Amy was being attended by Erin, but _ was not actual kin.
Option 1: Amy
Option 2: Erin
Choose the correct option and complete the sentence.",39
winogrande_train_1684,winogrande,1,"Sentence: While Tanya dove deep underwater, Lindsey stayed on the shore, and thus _ was quite wet.
Option 1: Tanya
Option 2: Lindsey
Choose the correct option and complete the sentence.",45
winogrande_train_1294,winogrande,1,"Sentence: Amy was more calm in this situation than Megan was so _ talked to the police officers.
Option 1: Amy
Option 2: Megan
Choose the correct option and complete the sentence.",38
winogrande_train_2695,winogrande,1,"Sentence: Dennis backed Nelson into the small corner during the heated argument because _ was submissive.
Option 1: Dennis
Option 2: Nelson
Choose the correct option and complete the sentence.",38
winogrande_train_3060,winogrande,1,"Sentence: So _ ignores a lot of vegetables because Monica wants to stay healthy and Christine doesn't care.
Option 1: Monica
Option 2: Christine
Choose the correct option and complete the sentence.",38
winogrande_train_7332,winogrande,1,"Sentence: Monica decided to wash Angela's white shirt, but it got stained with colors. _ was feeling angry.
Option 1: Monica
Option 2: Angela
Choose the correct option and complete the sentence.",41
winogrande_train_7018,winogrande,1,"Sentence: Kevin worried about his spouse Craig coming home late at night even though he was just working so _ was honest.
Option 1: Kevin
Option 2: Craig
Choose the correct option and complete the sentence.",43
winogrande_train_6523,winogrande,1,"Sentence: Samuel sprains his ankle, so he goes to visit Derrick at the hospital, because _ is a patient.
Option 1: Samuel
Option 2: Derrick
Choose the correct option and complete the sentence.",45
winogrande_train_8485,winogrande,1,"Sentence: I grilled the steak for too long, but not the chicken breast so the _ ended up dry.
Option 1: chicken breast
Option 2: steak
Choose the correct option and complete the sentence.",42
winogrande_train_1416,winogrande,1,"Sentence: Elena gave Samantha a scrapbook for their birthday, later on _ received a cake too.
Option 1: Elena
Option 2: Samantha
Choose the correct option and complete the sentence.",38
winogrande_train_8765,winogrande,1,"Sentence: Angela was easier to locate than Rachel, so the police could not arrest _ first.
Option 1: Angela
Option 2: Rachel
Choose the correct option and complete the sentence.",37
winogrande_train_1162,winogrande,1,"Sentence: I got an amazing treat from my father as opposed to the bad gift from my mother, because the _ was priceless.
Option 1: treat
Option 2: gift
Choose the correct option and complete the sentence.",46
winogrande_train_4109,winogrande,1,"Sentence: The geese prefer to nest in the fields rather than the forests because in the _ predators are very visible.
Option 1: fields
Option 2: forests
Choose the correct option and complete the sentence.",43
winogrande_train_6255,winogrande,1,"Sentence: Matthew threw a grape at Kenneth, because _ thought they could catch it in their mouth.
Option 1: Matthew
Option 2: Kenneth
Choose the correct option and complete the sentence.",38
winogrande_train_1758,winogrande,1,"Sentence: Ryan is going to be the CEO of the business they're starting with Aaron, so _ feels slighted.
Option 1: Ryan
Option 2: Aaron
Choose the correct option and complete the sentence.",41
winogrande_test_262,winogrande,2,"Sentence: Petra swapped vanilla into her scone recipe instead of almond extract, because the _ was not allergenic.
Option 1: vanilla
Option 2: extract
Choose the correct option and complete the sentence.",46
winogrande_train_5024,winogrande,1,"Sentence: The water dripping below the wooden floor was collected by a bowl placed beneath it. The _ is impermeable.
Option 1: floor
Option 2: bowl
Choose the correct option and complete the sentence.",43
winogrande_test_1115,winogrande,2,"Sentence: Benjamin didn't like astronomy like Craig so _ would go see the moon at the observatory alone.
Option 1: Benjamin
Option 2: Craig
Choose the correct option and complete the sentence.",39
winogrande_train_6941,winogrande,1,"Sentence: Carrie didn't want to sell the business to Cynthia because _ was offering a price that was too low.
Option 1: Carrie
Option 2: Cynthia
Choose the correct option and complete the sentence.",40
winogrande_train_5797,winogrande,1,"Sentence: Vinegar is used by Christopher to clean all sorts of things, but Aaron hates the smell, so _ has an insensitive nose.
Option 1: Christopher
Option 2: Aaron
Choose the correct option and complete the sentence.",48
winogrande_test_71,winogrande,2,"Sentence: Whilst Emily likes to lounge around on the couch Monica would rather be outside jogging because _ is energetic.
Option 1: Emily
Option 2: Monica
Choose the correct option and complete the sentence.",44
winogrande_train_2275,winogrande,1,"Sentence: The boys wanted to start a band in their garage but the _ was too large.
Option 1: band
Option 2: garage
Choose the correct option and complete the sentence.",37
winogrande_test_1028,winogrande,2,"Sentence: My relationship with my girlfriend was better than my friends marriage because the _ was two-sided.
Option 1: relationship
Option 2: marriage
Choose the correct option and complete the sentence.",38
winogrande_train_1370,winogrande,1,"Sentence: It was easier to sleep on the cot than the bed because the mattress on the _ was soft.
Option 1: cot
Option 2: bed
Choose the correct option and complete the sentence.",41
winogrande_train_2279,winogrande,1,"Sentence: Katrina took good care of the skin on their face but Felicia didn't. _ looked 10 years younger than their real age.
Option 1: Katrina
Option 2: Felicia
Choose the correct option and complete the sentence.",46
winogrande_val_333,winogrande,3,"Sentence: Aaron showed Donald how to use google play on an android because _ owned an apple phone.
Option 1: Aaron
Option 2: Donald
Choose the correct option and complete the sentence.",38
winogrande_train_5551,winogrande,1,"Sentence: During visits, Joel 's sofa was always giving Hunter stiffness in his back. _ was told to stop visiting.
Option 1: Joel
Option 2: Hunter
Choose the correct option and complete the sentence.",43
winogrande_test_361,winogrande,2,"Sentence: The retailer had trouble selling their product even with a price discount because the _ was too low.
Option 1: price
Option 2: discount
Choose the correct option and complete the sentence.",40
winogrande_train_1890,winogrande,1,"Sentence: Victoria uses more oil when frying chicken than Maria because _ doesn't care about cholesterol.
Option 1: Victoria
Option 2: Maria
Choose the correct option and complete the sentence.",37
winogrande_train_3189,winogrande,1,"Sentence: Robert gave rose clippings to Jason but they did not grow, since _ was good at growing rose bushes.
Option 1: Robert
Option 2: Jason
Choose the correct option and complete the sentence.",44
winogrande_train_302,winogrande,1,"Sentence: He had to look up a lot more when bouncing the tennis balls than with the golf balls, because the _ went lower.
Option 1: tennis balls
Option 2: golf balls
Choose the correct option and complete the sentence.",48
winogrande_test_647,winogrande,2,"Sentence: During the winter months Eric asked Joel to collect firewood since _ was the employer.
Option 1: Eric
Option 2: Joel
Choose the correct option and complete the sentence.",37
winogrande_train_1487,winogrande,1,"Sentence: The cook looked for a bowl to put the soup dish in instead of a plate, because the _ was deep enough to hold the liquid.
Option 1: bowl
Option 2: plate
Choose the correct option and complete the sentence.",48
winogrande_train_493,winogrande,1,"Sentence: Sarah cried when Angela was diagnosed with cancer but _ was the one who was scared.
Option 1: Sarah
Option 2: Angela
Choose the correct option and complete the sentence.",37
winogrande_test_213,winogrande,2,"Sentence: Kenneth ask to borrow a food processor from Randy as _ food processor is old since he brought his years ago.
Option 1: Kenneth
Option 2: Randy
Choose the correct option and complete the sentence.",42
winogrande_train_34,winogrande,1,"Sentence: Ian sate outside on the porch longer than Aaron because _ wanted to watch the television.
Option 1: Ian
Option 2: Aaron
Choose the correct option and complete the sentence.",38
winogrande_train_5460,winogrande,1,"Sentence: The new lawn of Hunter was done by Jason's hands. _ is likely the person who owns the home.
Option 1: Hunter
Option 2: Jason
Choose the correct option and complete the sentence.",42
winogrande_train_8938,winogrande,1,"Sentence: Michael was chosen to read to Donald because _ needed a very loud reading voice.
Option 1: Michael
Option 2: Donald
Choose the correct option and complete the sentence.",36
winogrande_train_1989,winogrande,1,"Sentence: Derrick thought the letter Logan wrote was way too formal, because _ prefers using a casual style.
Option 1: Derrick
Option 2: Logan
Choose the correct option and complete the sentence.",42
winogrande_train_8016,winogrande,1,"Sentence: Felicia is really attracted to Katrina due to _ having very strange looks for a woman.
Option 1: Felicia
Option 2: Katrina
Choose the correct option and complete the sentence.",39
winogrande_test_1190,winogrande,2,"Sentence: Sarah needed Tanyas help removing the urinary catheter from the patient, but _ forgot how.
Option 1: Sarah
Option 2: Tanya
Choose the correct option and complete the sentence.",40
winogrande_train_8807,winogrande,1,"Sentence: The mans desktop was a lot heaver than the laptop because the _ was smaller.
Option 1: desktop
Option 2: laptop
Choose the correct option and complete the sentence.",37
winogrande_train_2921,winogrande,1,"Sentence: The age of Elena's mother was older than Rachel's mother because _ mother was born after.
Option 1: Elena
Option 2: Rachel
Choose the correct option and complete the sentence.",39
winogrande_test_568,winogrande,2,"Sentence: The mouthwash was good for Derrick but not Joseph because _ did not have healthy gums and teeth.
Option 1: Derrick
Option 2: Joseph
Choose the correct option and complete the sentence.",43
winogrande_train_4038,winogrande,1,"Sentence: After getting out of bed Joel did 100 jumping jacks while Nick did 100 pullups. _ had excellent arm strength.
Option 1: Joel
Option 2: Nick
Choose the correct option and complete the sentence.",44
winogrande_train_6839,winogrande,1,"Sentence: Friends were important to Emily while Cynthia was more independent, so _ hated being alone.
Option 1: Emily
Option 2: Cynthia
Choose the correct option and complete the sentence.",38
winogrande_train_4108,winogrande,1,"Sentence: The geese prefer to nest in the fields rather than the forests because in the _ predators are more hidden.
Option 1: fields
Option 2: forests
Choose the correct option and complete the sentence.",43
winogrande_train_1903,winogrande,1,"Sentence: Mary had to climb the mountain to reach Cynthia, so _ could finally drink in their wisdom.
Option 1: Mary
Option 2: Cynthia
Choose the correct option and complete the sentence.",39
winogrande_test_1219,winogrande,2,"Sentence: The soldier tried to protect the base by putting a shield between it and the gun, so the _ ended up being untouched.
Option 1: base
Option 2: shield
Choose the correct option and complete the sentence.",47
winogrande_train_6210,winogrande,1,"Sentence: I grabbed my overcoat from the closet only to realize that the _ was too large.
Option 1: overcoat
Option 2: closet
Choose the correct option and complete the sentence.",44
winogrande_train_1815,winogrande,1,"Sentence: Jason did bathroom renovation for Michael, later his house failed inspection so _ offered to redo the work.
Option 1: Jason
Option 2: Michael
Choose the correct option and complete the sentence.",42
winogrande_train_6593,winogrande,1,"Sentence: Logan asked Ian to go to the pet store with him to buy a gecko because _ has 2 already and he has never owned one.
Option 1: Logan
Option 2: Ian
Choose the correct option and complete the sentence.",48
winogrande_train_4835,winogrande,1,"Sentence: With practice the skateboarder could jump the rail but not the ramp since the _ was low.
Option 1: rail
Option 2: ramp
Choose the correct option and complete the sentence.",40
winogrande_train_6978,winogrande,1,"Sentence: The doctor told Samantha they were healthy but Laura they were overweight. _ rarely ate a balanced diet.
Option 1: Samantha
Option 2: Laura
Choose the correct option and complete the sentence.",41
winogrande_val_379,winogrande,3,"Sentence: Ian's hair is being worked on by Craig, so it's more likely _ is the customer.
Option 1: Ian
Option 2: Craig
Choose the correct option and complete the sentence.",39
winogrande_train_5638,winogrande,1,"Sentence: The sky was brown over the factory, as the _ absorbed so much pollution all day.
Option 1: sky
Option 2: factory
Choose the correct option and complete the sentence.",38
winogrande_train_7318,winogrande,1,"Sentence: Neil put a lot of unwanted focus onto Donald, because _ is someone who doesn't defend their desire for isolation.
Option 1: Neil
Option 2: Donald
Choose the correct option and complete the sentence.",42
winogrande_train_458,winogrande,1,"Sentence: He finally threw the old birthday cards he had been saving in a drawer for years in the trash, when he was done the _ was empty.
Option 1: trash
Option 2: drawer
Choose the correct option and complete the sentence.",49
winogrande_train_4201,winogrande,1,"Sentence: The poodle was Monica's favorite dog breed while Betty loved German Shepherds. _ thought them too girly.
Option 1: Monica
Option 2: Betty
Choose the correct option and complete the sentence.",44
winogrande_train_765,winogrande,1,"Sentence: After starting a blog, Jessica asked Emily to proof read it because _ was known to find a lot of mistakes.
Option 1: Jessica
Option 2: Emily
Choose the correct option and complete the sentence.",43
winogrande_train_592,winogrande,1,"Sentence: Kyle wanted to play the rice game at the baby shower but Steven did not because _ wanted a fun baby shower.
Option 1: Kyle
Option 2: Steven
Choose the correct option and complete the sentence.",43
winogrande_train_3783,winogrande,1,"Sentence: Dennis had to dig a lot deeper than Jeffrey to get water, because _ lives near a water source.
Option 1: Dennis
Option 2: Jeffrey
Choose the correct option and complete the sentence.",41
